logid,ns,title,pageid,logpage,params,type,action,user,timestamp,comment
139841343,-1,Special:AbuseFilter/579,0,0,"{'historyId': 28199, 'newId': 579}",abusefilter,modify,DatGuy,2022-12-01T07:15:54Z,
139855802,-1,Special:AbuseFilter/1190,0,0,"{'historyId': 28200, 'newId': 1190}",abusefilter,modify,Firefly,2022-12-01T11:53:28Z,
139856683,-1,Special:AbuseFilter/579,0,0,"{'historyId': 28201, 'newId': 579}",abusefilter,modify,DatGuy,2022-12-01T12:53:59Z,
139859762,-1,Special:AbuseFilter/1094,0,0,"{'historyId': 28202, 'newId': 1094}",abusefilter,modify,Ohnoitsjamie,2022-12-01T15:39:38Z,
139870236,-1,Special:AbuseFilter/1094,0,0,"{'historyId': 28203, 'newId': 1094}",abusefilter,modify,Ohnoitsjamie,2022-12-01T23:59:03Z,
139873852,-1,Special:AbuseFilter/1094,0,0,"{'historyId': 28204, 'newId': 1094}",abusefilter,modify,Ohnoitsjamie,2022-12-02T04:25:43Z,
139873864,-1,Special:AbuseFilter/1202,0,0,"{'historyId': 28205, 'newId': 1202}",abusefilter,modify,Ohnoitsjamie,2022-12-02T04:26:29Z,
139874275,-1,Special:AbuseFilter/1094,0,0,"{'historyId': 28206, 'newId': 1094}",abusefilter,modify,Ohnoitsjamie,2022-12-02T05:14:28Z,
139874776,-1,Special:AbuseFilter/1214,0,0,"{'historyId': 28207, 'newId': 1214}",abusefilter,modify,DatGuy,2022-12-02T06:05:05Z,
139903693,-1,Special:AbuseFilter/1094,0,0,"{'historyId': 28208, 'newId': 1094}",abusefilter,modify,Ohnoitsjamie,2022-12-02T22:42:39Z,
139904047,-1,Special:AbuseFilter/1094,0,0,"{'historyId': 28209, 'newId': 1094}",abusefilter,modify,Ohnoitsjamie,2022-12-02T23:12:47Z,
139904055,-1,Special:AbuseFilter/1202,0,0,"{'historyId': 28210, 'newId': 1202}",abusefilter,modify,Ohnoitsjamie,2022-12-02T23:13:07Z,
139938190,-1,Special:AbuseFilter/579,0,0,"{'historyId': 28211, 'newId': 579}",abusefilter,modify,DatGuy,2022-12-03T09:53:14Z,
139941802,-1,Special:AbuseFilter/579,0,0,"{'historyId': 28212, 'newId': 579}",abusefilter,modify,DatGuy,2022-12-03T14:48:50Z,
139943478,-1,Special:AbuseFilter/1221,0,0,"{'historyId': 28213, 'newId': 1221}",abusefilter,modify,DatGuy,2022-12-03T16:20:21Z,
139946966,-1,Special:AbuseFilter/1214,0,0,"{'historyId': 28214, 'newId': 1214}",abusefilter,modify,DatGuy,2022-12-03T19:59:41Z,
139946976,-1,Special:AbuseFilter/1214,0,0,"{'historyId': 28215, 'newId': 1214}",abusefilter,modify,DatGuy,2022-12-03T20:00:15Z,
139947149,-1,Special:AbuseFilter/579,0,0,"{'historyId': 28216, 'newId': 579}",abusefilter,modify,DatGuy,2022-12-03T20:12:39Z,
139947160,-1,Special:AbuseFilter/54,0,0,"{'historyId': 28217, 'newId': 54}",abusefilter,modify,DatGuy,2022-12-03T20:13:17Z,
139950855,-1,Special:AbuseFilter/1233,0,0,"{'historyId': 28218, 'newId': 1233}",abusefilter,create,Suffusion of Yellow,2022-12-03T23:42:59Z,
139950908,-1,Special:AbuseFilter/1220,0,0,"{'historyId': 28219, 'newId': 1220}",abusefilter,modify,Suffusion of Yellow,2022-12-03T23:47:16Z,
139951125,-1,Special:AbuseFilter/1196,0,0,"{'historyId': 28220, 'newId': 1196}",abusefilter,modify,Suffusion of Yellow,2022-12-04T00:00:10Z,
139951211,-1,Special:AbuseFilter/1168,0,0,"{'historyId': 28221, 'newId': 1168}",abusefilter,modify,Suffusion of Yellow,2022-12-04T00:01:40Z,
139951307,-1,Special:AbuseFilter/1156,0,0,"{'historyId': 28222, 'newId': 1156}",abusefilter,modify,Suffusion of Yellow,2022-12-04T00:04:41Z,
139951358,-1,Special:AbuseFilter/890,0,0,"{'historyId': 28223, 'newId': 890}",abusefilter,modify,Suffusion of Yellow,2022-12-04T00:08:46Z,
139951370,-1,Special:AbuseFilter/887,0,0,"{'historyId': 28224, 'newId': 887}",abusefilter,modify,Suffusion of Yellow,2022-12-04T00:09:59Z,
139951664,-1,Special:AbuseFilter/874,0,0,"{'historyId': 28225, 'newId': 874}",abusefilter,modify,Suffusion of Yellow,2022-12-04T00:15:53Z,
139951685,-1,Special:AbuseFilter/579,0,0,"{'historyId': 28226, 'newId': 579}",abusefilter,modify,Suffusion of Yellow,2022-12-04T00:17:08Z,
139951737,-1,Special:AbuseFilter/425,0,0,"{'historyId': 28227, 'newId': 425}",abusefilter,modify,Suffusion of Yellow,2022-12-04T00:19:39Z,
