logid,ns,title,pageid,logpage,params,type,action,user,timestamp,comment
77755185,-1,Special:AbuseFilter/425,0,0,"{'0': '15926', '1': '425'}",abusefilter,modify,The Anome,2016-10-02T12:31:31Z,
77758959,-1,Special:AbuseFilter/637,0,0,"{'0': '15927', '1': '637'}",abusefilter,modify,MusikAnimal,2016-10-02T16:51:12Z,
77779901,-1,Special:AbuseFilter/773,0,0,"{'0': '15928', '1': '773'}",abusefilter,modify,TheresNoTime,2016-10-03T15:17:21Z,
77779921,-1,Special:AbuseFilter/773,0,0,"{'0': '15929', '1': '773'}",abusefilter,modify,TheresNoTime,2016-10-03T15:19:09Z,
77803778,-1,Special:AbuseFilter/795,0,0,"{'0': '15930', '1': '795'}",abusefilter,modify,Dragons flight,2016-10-04T14:55:20Z,
77803782,-1,Special:AbuseFilter/796,0,0,"{'0': '15931', '1': '796'}",abusefilter,modify,Dragons flight,2016-10-04T14:55:32Z,
77831446,-1,Special:AbuseFilter/637,0,0,"{'0': '15932', '1': '637'}",abusefilter,modify,MusikAnimal,2016-10-05T19:09:48Z,
77831504,-1,Special:AbuseFilter/637,0,0,"{'0': '15933', '1': '637'}",abusefilter,modify,MusikAnimal,2016-10-05T19:13:49Z,
77831644,-1,Special:AbuseFilter/637,0,0,"{'0': '15934', '1': '637'}",abusefilter,modify,MusikAnimal,2016-10-05T19:19:23Z,
77831869,-1,Special:AbuseFilter/637,0,0,"{'0': '15935', '1': '637'}",abusefilter,modify,MusikAnimal,2016-10-05T19:29:11Z,
77832018,-1,Special:AbuseFilter/637,0,0,"{'0': '15936', '1': '637'}",abusefilter,modify,MusikAnimal,2016-10-05T19:36:09Z,
77843947,-1,Special:AbuseFilter/639,0,0,"{'0': '15937', '1': '639'}",abusefilter,modify,Beetstra,2016-10-06T08:36:18Z,
77876934,-1,Special:AbuseFilter/793,0,0,"{'0': '15938', '1': '793'}",abusefilter,modify,MusikAnimal,2016-10-07T20:43:52Z,
77876942,-1,Special:AbuseFilter/793,0,0,"{'0': '15939', '1': '793'}",abusefilter,modify,MusikAnimal,2016-10-07T20:44:35Z,
77885300,-1,Special:AbuseFilter/793,0,0,"{'0': '15940', '1': '793'}",abusefilter,modify,MER-C,2016-10-08T05:33:41Z,
77892038,-1,Special:AbuseFilter/773,0,0,"{'0': '15941', '1': '773'}",abusefilter,modify,TheresNoTime,2016-10-08T12:49:48Z,
77928706,-1,Special:AbuseFilter/797,0,0,"{'0': '15942', '1': '797'}",abusefilter,modify,MusikAnimal,2016-10-09T21:46:35Z,
77928709,-1,Special:AbuseFilter/637,0,0,"{'0': '15943', '1': '637'}",abusefilter,modify,MusikAnimal,2016-10-09T21:46:42Z,
77928717,-1,Special:AbuseFilter/797,0,0,"{'0': '15944', '1': '797'}",abusefilter,modify,MusikAnimal,2016-10-09T21:47:14Z,
77928877,-1,Special:AbuseFilter/797,0,0,"{'0': '15945', '1': '797'}",abusefilter,modify,MusikAnimal,2016-10-09T21:59:24Z,
77956400,-1,Special:AbuseFilter/798,0,0,"{'0': '15946', '1': '798'}",abusefilter,modify,Billinghurst,2016-10-10T23:08:35Z,
77975678,-1,Special:AbuseFilter/773,0,0,"{'0': '15947', '1': '773'}",abusefilter,modify,TheresNoTime,2016-10-11T12:36:21Z,
77975866,-1,Special:AbuseFilter/684,0,0,"{'0': '15948', '1': '684'}",abusefilter,modify,TheresNoTime,2016-10-11T12:43:47Z,
77975881,-1,Special:AbuseFilter/684,0,0,"{'0': '15949', '1': '684'}",abusefilter,modify,TheresNoTime,2016-10-11T12:44:57Z,
77978666,-1,Special:AbuseFilter/781,0,0,"{'0': '15950', '1': '781'}",abusefilter,modify,TheresNoTime,2016-10-11T15:09:59Z,
77978707,-1,Special:AbuseFilter/781,0,0,"{'0': '15951', '1': '781'}",abusefilter,modify,TheresNoTime,2016-10-11T15:12:19Z,
77978874,-1,Special:AbuseFilter/1,0,0,"{'0': '15952', '1': '1'}",abusefilter,modify,TheresNoTime,2016-10-11T15:19:05Z,
78001116,-1,Special:AbuseFilter/781,0,0,"{'0': '15953', '1': '781'}",abusefilter,modify,TheresNoTime,2016-10-12T08:05:46Z,
78013890,-1,Special:AbuseFilter/537,0,0,"{'0': '15954', '1': '537'}",abusefilter,modify,Rich Farmbrough,2016-10-12T20:13:34Z,
78014073,-1,Special:AbuseFilter/544,0,0,"{'0': '15955', '1': '544'}",abusefilter,modify,Rich Farmbrough,2016-10-12T20:24:24Z,
78014109,-1,Special:AbuseFilter/556,0,0,"{'0': '15956', '1': '556'}",abusefilter,modify,Rich Farmbrough,2016-10-12T20:25:50Z,
