logid,ns,title,pageid,logpage,params,type,action,user,timestamp,comment
111095363,-1,Special:AbuseFilter/1082,0,0,"{'historyId': 24026, 'newId': 1082}",abusefilter,create,ST47,2020-09-02T12:19:53Z,
111095554,-1,Special:AbuseFilter/1082,0,0,"{'historyId': 24027, 'newId': '1082'}",abusefilter,modify,ST47,2020-09-02T12:31:07Z,
111095566,-1,Special:AbuseFilter/1082,0,0,"{'historyId': 24028, 'newId': '1082'}",abusefilter,modify,ST47,2020-09-02T12:31:43Z,
111096483,-1,Special:AbuseFilter/1082,0,0,"{'historyId': 24029, 'newId': '1082'}",abusefilter,modify,ST47,2020-09-02T13:09:12Z,
111096545,-1,Special:AbuseFilter/1082,0,0,"{'historyId': 24030, 'newId': '1082'}",abusefilter,modify,ST47,2020-09-02T13:12:30Z,
111103662,-1,Special:AbuseFilter/1013,0,0,"{'historyId': 24031, 'newId': '1013'}",abusefilter,modify,Suffusion of Yellow,2020-09-02T18:19:06Z,
111104075,-1,Special:AbuseFilter/1013,0,0,"{'historyId': 24032, 'newId': '1013'}",abusefilter,modify,Suffusion of Yellow,2020-09-02T18:42:41Z,
111104650,-1,Special:AbuseFilter/1013,0,0,"{'historyId': 24033, 'newId': '1013'}",abusefilter,modify,Suffusion of Yellow,2020-09-02T19:09:18Z,
111104759,-1,Special:AbuseFilter/1013,0,0,"{'historyId': 24034, 'newId': '1013'}",abusefilter,modify,Suffusion of Yellow,2020-09-02T19:15:16Z,
111105831,-1,Special:AbuseFilter/1013,0,0,"{'historyId': 24035, 'newId': '1013'}",abusefilter,modify,Suffusion of Yellow,2020-09-02T20:09:54Z,
111107768,-1,Special:AbuseFilter/1013,0,0,"{'historyId': 24036, 'newId': '1013'}",abusefilter,modify,Suffusion of Yellow,2020-09-02T21:45:06Z,
111111775,-1,Special:AbuseFilter/1061,0,0,"{'historyId': 24037, 'newId': '1061'}",abusefilter,modify,Suffusion of Yellow,2020-09-03T01:40:21Z,
111135192,-1,Special:AbuseFilter/869,0,0,"{'historyId': 24038, 'newId': '869'}",abusefilter,modify,Suffusion of Yellow,2020-09-03T19:33:12Z,
111135221,-1,Special:AbuseFilter/891,0,0,"{'historyId': 24039, 'newId': '891'}",abusefilter,modify,Suffusion of Yellow,2020-09-03T19:34:44Z,
111135239,-1,Special:AbuseFilter/894,0,0,"{'historyId': 24040, 'newId': '894'}",abusefilter,modify,Suffusion of Yellow,2020-09-03T19:35:51Z,
