logid,ns,title,pageid,logpage,params,type,action,user,timestamp,comment
106157147,-1,Special:AbuseFilter/1033,0,0,"{'historyId': 23164, 'newId': '1033'}",abusefilter,modify,JzG,2020-03-01T10:03:43Z,
106158366,-1,Special:AbuseFilter/994,0,0,"{'historyId': 23165, 'newId': '994'}",abusefilter,modify,QEDK,2020-03-01T10:58:14Z,
106167853,-1,Special:AbuseFilter/871,0,0,"{'historyId': 23166, 'newId': '871'}",abusefilter,modify,Crow,2020-03-01T18:23:22Z,
106167899,-1,Special:AbuseFilter/189,0,0,"{'historyId': 23167, 'newId': '189'}",abusefilter,modify,Crow,2020-03-01T18:25:52Z,
106172821,-1,Special:AbuseFilter/1037,0,0,"{'historyId': 23168, 'newId': 1037}",abusefilter,create,Suffusion of Yellow,2020-03-01T22:52:01Z,
106172840,-1,Special:AbuseFilter/917,0,0,"{'historyId': 23169, 'newId': '917'}",abusefilter,modify,Suffusion of Yellow,2020-03-01T22:52:43Z,
106172854,-1,Special:AbuseFilter/980,0,0,"{'historyId': 23170, 'newId': '980'}",abusefilter,modify,Suffusion of Yellow,2020-03-01T22:53:27Z,
106173091,-1,Special:AbuseFilter/1037,0,0,"{'historyId': 23171, 'newId': '1037'}",abusefilter,modify,Suffusion of Yellow,2020-03-01T23:06:03Z,
106173105,-1,Special:AbuseFilter/1005,0,0,"{'historyId': 23172, 'newId': '1005'}",abusefilter,modify,Suffusion of Yellow,2020-03-01T23:06:44Z,
106173498,-1,Special:AbuseFilter/1038,0,0,"{'historyId': 23173, 'newId': 1038}",abusefilter,create,JzG,2020-03-01T23:27:05Z,
106185968,-1,Special:AbuseFilter/994,0,0,"{'historyId': 23174, 'newId': '994'}",abusefilter,modify,QEDK,2020-03-02T11:53:41Z,
106186007,-1,Special:AbuseFilter/994,0,0,"{'historyId': 23175, 'newId': '994'}",abusefilter,modify,QEDK,2020-03-02T11:56:30Z,
