logid,ns,title,pageid,logpage,params,type,action,user,timestamp,comment
81237954,-1,Special:AbuseFilter/842,0,0,"{'0': '16966', '1': '842'}",abusefilter,modify,MusikAnimal,2017-03-01T04:22:12Z,
81240086,-1,Special:AbuseFilter/637,0,0,"{'0': '16967', '1': '637'}",abusefilter,modify,MusikAnimal,2017-03-01T07:19:42Z,
81243424,-1,Special:AbuseFilter/793,0,0,"{'0': '16968', '1': '793'}",abusefilter,modify,MER-C,2017-03-01T11:41:00Z,
81245351,-1,Special:AbuseFilter/843,0,0,"{'0': '16969', '1': '843'}",abusefilter,modify,Ritchie333,2017-03-01T13:48:09Z,
81250201,-1,Special:AbuseFilter/843,0,0,"{'0': '16970', '1': '843'}",abusefilter,modify,Ritchie333,2017-03-01T17:53:10Z,
81250395,-1,Special:AbuseFilter/843,0,0,"{'0': '16971', '1': '843'}",abusefilter,modify,Ritchie333,2017-03-01T18:05:23Z,
81252185,-1,Special:AbuseFilter/843,0,0,"{'0': '16972', '1': '843'}",abusefilter,modify,Jasper Deng,2017-03-01T19:40:20Z,
81252349,-1,Special:AbuseFilter/614,0,0,"{'0': '16973', '1': '614'}",abusefilter,modify,MusikAnimal,2017-03-01T19:47:18Z,
81252352,-1,Special:AbuseFilter/637,0,0,"{'0': '16974', '1': '637'}",abusefilter,modify,MusikAnimal,2017-03-01T19:47:25Z,
81252355,-1,Special:AbuseFilter/614,0,0,"{'0': '16975', '1': '614'}",abusefilter,modify,MusikAnimal,2017-03-01T19:47:33Z,
81253278,-1,Special:AbuseFilter/843,0,0,"{'0': '16976', '1': '843'}",abusefilter,modify,Zzuuzz,2017-03-01T20:26:22Z,
81260678,-1,Special:AbuseFilter/836,0,0,"{'0': '16977', '1': '836'}",abusefilter,modify,Georgewilliamherbert,2017-03-02T01:31:08Z,
81275650,-1,Special:AbuseFilter/756,0,0,"{'0': '16978', '1': '756'}",abusefilter,modify,BethNaught,2017-03-02T16:18:49Z,
81275835,-1,Special:AbuseFilter/756,0,0,"{'0': '16979', '1': '756'}",abusefilter,modify,BethNaught,2017-03-02T16:28:54Z,
81278450,-1,Special:AbuseFilter/547,0,0,"{'0': '16980', '1': '547'}",abusefilter,modify,MusikAnimal,2017-03-02T18:27:23Z,
81288502,-1,Special:AbuseFilter/287,0,0,"{'0': '16981', '1': '287'}",abusefilter,modify,AmandaNP,2017-03-03T03:24:09Z,
81294571,-1,Special:AbuseFilter/769,0,0,"{'0': '16982', '1': '769'}",abusefilter,modify,BethNaught,2017-03-03T11:38:36Z,
81306288,-1,Special:AbuseFilter/31,0,0,"{'0': '16983', '1': '31'}",abusefilter,modify,Renamed user mou89p43twvqcvm8ut9w3,2017-03-03T22:37:54Z,
81324744,-1,Special:AbuseFilter/814,0,0,"{'0': '16984', '1': '814'}",abusefilter,modify,Zzuuzz,2017-03-04T20:40:49Z,
81334454,-1,Special:AbuseFilter/579,0,0,"{'0': '16985', '1': '579'}",abusefilter,modify,The Anome,2017-03-05T09:28:30Z,
81334456,-1,Special:AbuseFilter/827,0,0,"{'0': '16986', '1': '827'}",abusefilter,modify,The Anome,2017-03-05T09:29:05Z,
81339162,-1,Special:AbuseFilter/755,0,0,"{'0': '16987', '1': '755'}",abusefilter,modify,BethNaught,2017-03-05T14:44:12Z,
81345006,-1,Special:AbuseFilter/783,0,0,"{'0': '16988', '1': '783'}",abusefilter,modify,Samwalton9,2017-03-05T18:52:33Z,
81356342,-1,Special:AbuseFilter/814,0,0,"{'0': '16989', '1': '814'}",abusefilter,modify,Zzuuzz,2017-03-06T07:48:23Z,
81408575,-1,Special:AbuseFilter/773,0,0,"{'0': '16990', '1': '773'}",abusefilter,modify,TheresNoTime,2017-03-08T11:33:57Z,
81418522,-1,Special:AbuseFilter/793,0,0,"{'0': '16991', '1': '793'}",abusefilter,modify,Zzuuzz,2017-03-08T20:42:30Z,
81418920,-1,Special:AbuseFilter/793,0,0,"{'0': '16992', '1': '793'}",abusefilter,modify,Zzuuzz,2017-03-08T21:06:04Z,
81418988,-1,Special:AbuseFilter/793,0,0,"{'0': '16993', '1': '793'}",abusefilter,modify,Zzuuzz,2017-03-08T21:10:04Z,
81419037,-1,Special:AbuseFilter/793,0,0,"{'0': '16994', '1': '793'}",abusefilter,modify,Zzuuzz,2017-03-08T21:13:53Z,
81428151,-1,Special:AbuseFilter/788,0,0,"{'0': '16995', '1': '788'}",abusefilter,modify,MusikAnimal,2017-03-09T08:37:07Z,
81440226,-1,Special:AbuseFilter/793,0,0,"{'0': '16996', '1': '793'}",abusefilter,modify,Zzuuzz,2017-03-09T20:35:46Z,
81450492,-1,Special:AbuseFilter/684,0,0,"{'0': '16997', '1': '684'}",abusefilter,modify,Zzuuzz,2017-03-10T09:11:15Z,
81482649,-1,Special:AbuseFilter/773,0,0,"{'0': '16998', '1': '773'}",abusefilter,modify,TheresNoTime,2017-03-11T21:18:05Z,
81484889,-1,Special:AbuseFilter/547,0,0,"{'0': '16999', '1': '547'}",abusefilter,modify,MusikAnimal,2017-03-11T23:36:11Z,
81484897,-1,Special:AbuseFilter/842,0,0,"{'0': '17000', '1': '842'}",abusefilter,modify,MusikAnimal,2017-03-11T23:36:41Z,
81492298,-1,Special:AbuseFilter/789,0,0,"{'0': '17001', '1': '789'}",abusefilter,modify,BethNaught,2017-03-12T09:43:14Z,
81495752,-1,Special:AbuseFilter/755,0,0,"{'0': '17002', '1': '755'}",abusefilter,modify,BethNaught,2017-03-12T14:05:42Z,
81496066,-1,Special:AbuseFilter/755,0,0,"{'0': '17003', '1': '755'}",abusefilter,modify,BethNaught,2017-03-12T14:26:36Z,
81496325,-1,Special:AbuseFilter/773,0,0,"{'0': '17004', '1': '773'}",abusefilter,modify,TheresNoTime,2017-03-12T14:43:42Z,
81504085,-1,Special:AbuseFilter/842,0,0,"{'0': '17005', '1': '842'}",abusefilter,modify,MusikAnimal,2017-03-12T22:22:37Z,
81504279,-1,Special:AbuseFilter/844,0,0,"{'0': '17006', '1': '844'}",abusefilter,modify,MusikAnimal,2017-03-12T22:37:36Z,
81504289,-1,Special:AbuseFilter/842,0,0,"{'0': '17007', '1': '842'}",abusefilter,modify,MusikAnimal,2017-03-12T22:38:40Z,
81504305,-1,Special:AbuseFilter/842,0,0,"{'0': '17008', '1': '842'}",abusefilter,modify,MusikAnimal,2017-03-12T22:40:01Z,
81504306,-1,Special:AbuseFilter/842,0,0,"{'0': '17009', '1': '842'}",abusefilter,modify,MusikAnimal,2017-03-12T22:40:22Z,
81505272,-1,Special:AbuseFilter/830,0,0,"{'0': '17010', '1': '830'}",abusefilter,modify,Renamed user mou89p43twvqcvm8ut9w3,2017-03-12T23:41:06Z,
81510658,-1,Special:AbuseFilter/762,0,0,"{'0': '17011', '1': '762'}",abusefilter,modify,Beetstra,2017-03-13T07:18:26Z,
81510689,-1,Special:AbuseFilter/762,0,0,"{'0': '17012', '1': '762'}",abusefilter,modify,Beetstra,2017-03-13T07:22:05Z,
81541419,-1,Special:AbuseFilter/819,0,0,"{'0': '17013', '1': '819'}",abusefilter,modify,MusikAnimal,2017-03-14T16:19:04Z,
81541437,-1,Special:AbuseFilter/842,0,0,"{'0': '17014', '1': '842'}",abusefilter,modify,MusikAnimal,2017-03-14T16:19:44Z,
81543437,-1,Special:AbuseFilter/843,0,0,"{'0': '17015', '1': '843'}",abusefilter,modify,Od Mishehu,2017-03-14T18:20:12Z,
81546934,-1,Special:AbuseFilter/845,0,0,"{'0': '17016', '1': '845'}",abusefilter,modify,Coffee,2017-03-14T20:40:16Z,
81557084,-1,Special:AbuseFilter/773,0,0,"{'0': '17017', '1': '773'}",abusefilter,modify,TheresNoTime,2017-03-15T08:28:40Z,
81557094,-1,Special:AbuseFilter/800,0,0,"{'0': '17018', '1': '800'}",abusefilter,modify,TheresNoTime,2017-03-15T08:30:00Z,
81557102,-1,Special:AbuseFilter/808,0,0,"{'0': '17019', '1': '808'}",abusefilter,modify,TheresNoTime,2017-03-15T08:31:03Z,
81572299,-1,Special:AbuseFilter/845,0,0,"{'0': '17020', '1': '845'}",abusefilter,modify,Coffee,2017-03-15T23:03:45Z,
81572381,-1,Special:AbuseFilter/845,0,0,"{'0': '17021', '1': '845'}",abusefilter,modify,Coffee,2017-03-15T23:09:09Z,
81603390,-1,Special:AbuseFilter/755,0,0,"{'0': '17022', '1': '755'}",abusefilter,modify,BethNaught,2017-03-17T08:55:44Z,
81624782,-1,Special:AbuseFilter/579,0,0,"{'0': '17023', '1': '579'}",abusefilter,modify,Oshwah,2017-03-18T09:24:21Z,
81624790,-1,Special:AbuseFilter/579,0,0,"{'0': '17024', '1': '579'}",abusefilter,modify,Oshwah,2017-03-18T09:24:56Z,
81624811,-1,Special:AbuseFilter/579,0,0,"{'0': '17025', '1': '579'}",abusefilter,modify,Oshwah,2017-03-18T09:27:10Z,
81634354,-1,Special:AbuseFilter/579,0,0,"{'0': '17026', '1': '579'}",abusefilter,modify,Oshwah,2017-03-18T20:19:44Z,
81635479,-1,Special:AbuseFilter/579,0,0,"{'0': '17027', '1': '579'}",abusefilter,modify,Oshwah,2017-03-18T21:42:59Z,
81670373,-1,Special:AbuseFilter/579,0,0,"{'0': '17028', '1': '579'}",abusefilter,modify,DoRD,2017-03-20T12:02:16Z,
81679434,-1,Special:AbuseFilter/821,0,0,"{'0': '17029', '1': '821'}",abusefilter,modify,MusikAnimal,2017-03-20T20:06:40Z,
81680147,-1,Special:AbuseFilter/579,0,0,"{'0': '17030', '1': '579'}",abusefilter,modify,Oshwah,2017-03-20T20:46:25Z,
81686392,-1,Special:AbuseFilter/579,0,0,"{'0': '17031', '1': '579'}",abusefilter,modify,Oshwah,2017-03-21T01:56:18Z,
81687121,-1,Special:AbuseFilter/579,0,0,"{'0': '17032', '1': '579'}",abusefilter,modify,Oshwah,2017-03-21T02:25:34Z,
81724454,-1,Special:AbuseFilter/755,0,0,"{'0': '17033', '1': '755'}",abusefilter,modify,BethNaught,2017-03-22T16:37:44Z,
81725165,-1,Special:AbuseFilter/845,0,0,"{'0': '17034', '1': '845'}",abusefilter,modify,Coffee,2017-03-22T17:14:28Z,
81727012,-1,Special:AbuseFilter/846,0,0,"{'0': '17035', '1': '846'}",abusefilter,modify,TheresNoTime,2017-03-22T18:56:30Z,
81727100,-1,Special:AbuseFilter/773,0,0,"{'0': '17036', '1': '773'}",abusefilter,modify,TheresNoTime,2017-03-22T19:01:14Z,
81735278,-1,Special:AbuseFilter/637,0,0,"{'0': '17037', '1': '637'}",abusefilter,modify,MusikAnimal,2017-03-23T03:29:18Z,
81735296,-1,Special:AbuseFilter/637,0,0,"{'0': '17038', '1': '637'}",abusefilter,modify,MusikAnimal,2017-03-23T03:31:16Z,
81735313,-1,Special:AbuseFilter/637,0,0,"{'0': '17039', '1': '637'}",abusefilter,modify,MusikAnimal,2017-03-23T03:33:01Z,
81735331,-1,Special:AbuseFilter/637,0,0,"{'0': '17040', '1': '637'}",abusefilter,modify,MusikAnimal,2017-03-23T03:33:43Z,
81740611,-1,Special:AbuseFilter/811,0,0,"{'0': '17041', '1': '811'}",abusefilter,modify,TheresNoTime,2017-03-23T11:18:47Z,
81746455,-1,Special:AbuseFilter/637,0,0,"{'0': '17042', '1': '637'}",abusefilter,modify,MusikAnimal,2017-03-23T16:53:05Z,
81746484,-1,Special:AbuseFilter/835,0,0,"{'0': '17043', '1': '835'}",abusefilter,modify,MusikAnimal,2017-03-23T16:54:59Z,
81746648,-1,Special:AbuseFilter/845,0,0,"{'0': '17044', '1': '845'}",abusefilter,modify,MusikAnimal,2017-03-23T17:05:32Z,
81746674,-1,Special:AbuseFilter/845,0,0,"{'0': '17045', '1': '845'}",abusefilter,modify,MusikAnimal,2017-03-23T17:07:11Z,
81746678,-1,Special:AbuseFilter/845,0,0,"{'0': '17046', '1': '845'}",abusefilter,modify,MusikAnimal,2017-03-23T17:07:20Z,
81748894,-1,Special:AbuseFilter/739,0,0,"{'0': '17047', '1': '739'}",abusefilter,modify,Samwalton9,2017-03-23T19:16:27Z,
81748900,-1,Special:AbuseFilter/739,0,0,"{'0': '17048', '1': '739'}",abusefilter,modify,Samwalton9,2017-03-23T19:16:50Z,
81748923,-1,Special:AbuseFilter/739,0,0,"{'0': '17049', '1': '739'}",abusefilter,modify,Samwalton9,2017-03-23T19:18:16Z,
81776988,-1,Special:AbuseFilter/844,0,0,"{'0': '17050', '1': '844'}",abusefilter,modify,MusikAnimal,2017-03-25T04:10:47Z,
81777052,-1,Special:AbuseFilter/790,0,0,"{'0': '17051', '1': '790'}",abusefilter,modify,MusikAnimal,2017-03-25T04:16:29Z,
81806463,-1,Special:AbuseFilter/755,0,0,"{'0': '17052', '1': '755'}",abusefilter,modify,BethNaught,2017-03-26T12:52:43Z,
81814759,-1,Special:AbuseFilter/846,0,0,"{'0': '17053', '1': '846'}",abusefilter,modify,Coffee,2017-03-26T21:38:46Z,
81815033,-1,Special:AbuseFilter/845,0,0,"{'0': '17054', '1': '845'}",abusefilter,modify,Coffee,2017-03-26T21:58:55Z,
81815198,-1,Special:AbuseFilter/846,0,0,"{'0': '17055', '1': '846'}",abusefilter,modify,Coffee,2017-03-26T22:12:16Z,
81819425,-1,Special:AbuseFilter/639,0,0,"{'0': '17056', '1': '639'}",abusefilter,modify,Beetstra,2017-03-27T03:18:16Z,
81827252,-1,Special:AbuseFilter/755,0,0,"{'0': '17057', '1': '755'}",abusefilter,modify,BethNaught,2017-03-27T13:41:51Z,
81829022,-1,Special:AbuseFilter/755,0,0,"{'0': '17058', '1': '755'}",abusefilter,modify,BethNaught,2017-03-27T15:24:23Z,
81830325,-1,Special:AbuseFilter/637,0,0,"{'0': '17059', '1': '637'}",abusefilter,modify,MusikAnimal,2017-03-27T16:38:57Z,
81830934,-1,Special:AbuseFilter/755,0,0,"{'0': '17060', '1': '755'}",abusefilter,modify,BethNaught,2017-03-27T17:13:40Z,
81856561,-1,Special:AbuseFilter/547,0,0,"{'0': '17061', '1': '547'}",abusefilter,modify,MusikAnimal,2017-03-28T20:02:22Z,
81883969,-1,Special:AbuseFilter/579,0,0,"{'0': '17062', '1': '579'}",abusefilter,modify,Oshwah,2017-03-29T23:58:29Z,
81889191,-1,Special:AbuseFilter/769,0,0,"{'0': '17063', '1': '769'}",abusefilter,modify,BethNaught,2017-03-30T06:36:22Z,
81897553,-1,Special:AbuseFilter/579,0,0,"{'0': '17064', '1': '579'}",abusefilter,modify,Oshwah,2017-03-30T15:45:58Z,
81897944,-1,Special:AbuseFilter/579,0,0,"{'0': '17065', '1': '579'}",abusefilter,modify,Oshwah,2017-03-30T16:04:47Z,
81900181,-1,Special:AbuseFilter/579,0,0,"{'0': '17066', '1': '579'}",abusefilter,modify,Oshwah,2017-03-30T18:07:10Z,
81900195,-1,Special:AbuseFilter/579,0,0,"{'0': '17067', '1': '579'}",abusefilter,modify,Oshwah,2017-03-30T18:08:12Z,
81900311,-1,Special:AbuseFilter/579,0,0,"{'0': '17068', '1': '579'}",abusefilter,modify,Oshwah,2017-03-30T18:13:48Z,
81900356,-1,Special:AbuseFilter/579,0,0,"{'0': '17069', '1': '579'}",abusefilter,modify,Oshwah,2017-03-30T18:16:21Z,
