logid,ns,title,pageid,logpage,params,type,action,user,timestamp,comment
79753260,-1,Special:AbuseFilter/739,0,0,"{'0': '16517', '1': '739'}",abusefilter,modify,Samwalton9,2017-01-01T01:40:57Z,
79759132,-1,Special:AbuseFilter/756,0,0,"{'0': '16518', '1': '756'}",abusefilter,modify,BethNaught,2017-01-01T10:44:25Z,
79760453,-1,Special:AbuseFilter/755,0,0,"{'0': '16519', '1': '755'}",abusefilter,modify,BethNaught,2017-01-01T12:13:44Z,
79765303,-1,Special:AbuseFilter/773,0,0,"{'0': '16520', '1': '773'}",abusefilter,modify,TheresNoTime,2017-01-01T17:12:41Z,
79765451,-1,Special:AbuseFilter/773,0,0,"{'0': '16521', '1': '773'}",abusefilter,modify,TheresNoTime,2017-01-01T17:20:14Z,
79765828,-1,Special:AbuseFilter/811,0,0,"{'0': '16522', '1': '811'}",abusefilter,modify,TheresNoTime,2017-01-01T17:48:15Z,
79765842,-1,Special:AbuseFilter/773,0,0,"{'0': '16523', '1': '773'}",abusefilter,modify,TheresNoTime,2017-01-01T17:49:43Z,
79767062,-1,Special:AbuseFilter/773,0,0,"{'0': '16524', '1': '773'}",abusefilter,modify,Samwalton9,2017-01-01T19:28:54Z,
79767065,-1,Special:AbuseFilter/773,0,0,"{'0': '16525', '1': '773'}",abusefilter,modify,Samwalton9,2017-01-01T19:29:00Z,
79767223,-1,Special:AbuseFilter/820,0,0,"{'0': '16526', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T19:39:29Z,
79767296,-1,Special:AbuseFilter/820,0,0,"{'0': '16527', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T19:44:35Z,
79767340,-1,Special:AbuseFilter/820,0,0,"{'0': '16528', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T19:47:48Z,
79767341,-1,Special:AbuseFilter/820,0,0,"{'0': '16529', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T19:47:53Z,
79767419,-1,Special:AbuseFilter/820,0,0,"{'0': '16530', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T19:53:16Z,
79767425,-1,Special:AbuseFilter/820,0,0,"{'0': '16531', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T19:53:32Z,
79767477,-1,Special:AbuseFilter/820,0,0,"{'0': '16532', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T19:58:20Z,
79767496,-1,Special:AbuseFilter/820,0,0,"{'0': '16533', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T19:59:13Z,
79767599,-1,Special:AbuseFilter/820,0,0,"{'0': '16534', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T20:07:04Z,
79767608,-1,Special:AbuseFilter/820,0,0,"{'0': '16535', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-01T20:08:05Z,
79767841,-1,Special:AbuseFilter/819,0,0,"{'0': '16536', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-01T20:23:53Z,
79767845,-1,Special:AbuseFilter/739,0,0,"{'0': '16537', '1': '739'}",abusefilter,modify,Samwalton9,2017-01-01T20:24:07Z,
79771899,-1,Special:AbuseFilter/384,0,0,"{'0': '16538', '1': '384'}",abusefilter,modify,MusikAnimal,2017-01-01T23:48:53Z,
79771978,-1,Special:AbuseFilter/380,0,0,"{'0': '16539', '1': '380'}",abusefilter,modify,MusikAnimal,2017-01-01T23:56:17Z,
79771987,-1,Special:AbuseFilter/380,0,0,"{'0': '16540', '1': '380'}",abusefilter,modify,MusikAnimal,2017-01-01T23:57:02Z,
79777988,-1,Special:AbuseFilter/354,0,0,"{'0': '16541', '1': '354'}",abusefilter,modify,MER-C,2017-01-02T06:59:44Z,
79781584,-1,Special:AbuseFilter/820,0,0,"{'0': '16542', '1': '820'}",abusefilter,modify,Samwalton9,2017-01-02T11:33:36Z,
79783139,-1,Special:AbuseFilter/811,0,0,"{'0': '16543', '1': '811'}",abusefilter,modify,TheresNoTime,2017-01-02T13:30:00Z,
79791397,-1,Special:AbuseFilter/819,0,0,"{'0': '16544', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-02T22:26:01Z,
79793321,-1,Special:AbuseFilter/819,0,0,"{'0': '16545', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-03T00:19:00Z,
79794362,-1,Special:AbuseFilter/819,0,0,"{'0': '16546', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-03T01:50:24Z,
79794389,-1,Special:AbuseFilter/819,0,0,"{'0': '16547', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-03T01:53:23Z,
79794406,-1,Special:AbuseFilter/819,0,0,"{'0': '16548', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-03T01:54:18Z,
79794421,-1,Special:AbuseFilter/819,0,0,"{'0': '16549', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-03T01:55:12Z,
79795914,-1,Special:AbuseFilter/819,0,0,"{'0': '16550', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-03T03:41:41Z,
79796194,-1,Special:AbuseFilter/815,0,0,"{'0': '16551', '1': '815'}",abusefilter,modify,MusikAnimal,2017-01-03T04:01:52Z,
79796237,-1,Special:AbuseFilter/819,0,0,"{'0': '16552', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-03T04:03:32Z,
79796260,-1,Special:AbuseFilter/815,0,0,"{'0': '16553', '1': '815'}",abusefilter,modify,MusikAnimal,2017-01-03T04:05:19Z,
79814844,-1,Special:AbuseFilter/815,0,0,"{'0': '16554', '1': '815'}",abusefilter,modify,MusikAnimal,2017-01-04T00:06:16Z,
79815696,-1,Special:AbuseFilter/811,0,0,"{'0': '16555', '1': '811'}",abusefilter,modify,MusikAnimal,2017-01-04T01:08:16Z,
79815884,-1,Special:AbuseFilter/817,0,0,"{'0': '16556', '1': '817'}",abusefilter,modify,MusikAnimal,2017-01-04T01:17:26Z,
79818407,-1,Special:AbuseFilter/819,0,0,"{'0': '16557', '1': '819'}",abusefilter,modify,MusikAnimal,2017-01-04T04:40:05Z,
79821395,-1,Special:AbuseFilter/815,0,0,"{'0': '16558', '1': '815'}",abusefilter,modify,MusikAnimal,2017-01-04T07:58:12Z,
79824414,-1,Special:AbuseFilter/773,0,0,"{'0': '16559', '1': '773'}",abusefilter,modify,TheresNoTime,2017-01-04T12:19:10Z,
