logid,ns,title,pageid,logpage,params,type,action,user,timestamp,comment
81926751,-1,Special:AbuseFilter/579,0,0,"{'0': '17070', '1': '579'}",abusefilter,modify,Oshwah,2017-04-01T02:53:52Z,
81936248,-1,Special:AbuseFilter/769,0,0,"{'0': '17071', '1': '769'}",abusefilter,modify,BethNaught,2017-04-01T14:53:33Z,
81944321,-1,Special:AbuseFilter/702,0,0,"{'0': '17072', '1': '702'}",abusefilter,modify,Xaosflux,2017-04-01T23:27:13Z,
81949927,-1,Special:AbuseFilter/814,0,0,"{'0': '17073', '1': '814'}",abusefilter,modify,Zzuuzz,2017-04-02T07:27:33Z,
81949961,-1,Special:AbuseFilter/16,0,0,"{'0': '17074', '1': '16'}",abusefilter,modify,Zzuuzz,2017-04-02T07:30:41Z,
81949992,-1,Special:AbuseFilter/116,0,0,"{'0': '17075', '1': '116'}",abusefilter,modify,Zzuuzz,2017-04-02T07:34:22Z,
81949999,-1,Special:AbuseFilter/159,0,0,"{'0': '17076', '1': '159'}",abusefilter,modify,Zzuuzz,2017-04-02T07:35:29Z,
81950004,-1,Special:AbuseFilter/418,0,0,"{'0': '17077', '1': '418'}",abusefilter,modify,Zzuuzz,2017-04-02T07:36:05Z,
81950011,-1,Special:AbuseFilter/436,0,0,"{'0': '17078', '1': '436'}",abusefilter,modify,Zzuuzz,2017-04-02T07:36:39Z,
81950021,-1,Special:AbuseFilter/481,0,0,"{'0': '17079', '1': '481'}",abusefilter,modify,Zzuuzz,2017-04-02T07:37:48Z,
81950027,-1,Special:AbuseFilter/514,0,0,"{'0': '17080', '1': '514'}",abusefilter,modify,Zzuuzz,2017-04-02T07:38:19Z,
81950034,-1,Special:AbuseFilter/578,0,0,"{'0': '17081', '1': '578'}",abusefilter,modify,Zzuuzz,2017-04-02T07:39:22Z,
81950045,-1,Special:AbuseFilter/638,0,0,"{'0': '17082', '1': '638'}",abusefilter,modify,Zzuuzz,2017-04-02T07:41:02Z,
81950052,-1,Special:AbuseFilter/698,0,0,"{'0': '17083', '1': '698'}",abusefilter,modify,Zzuuzz,2017-04-02T07:42:30Z,
81950065,-1,Special:AbuseFilter/705,0,0,"{'0': '17084', '1': '705'}",abusefilter,modify,Zzuuzz,2017-04-02T07:43:37Z,
81950069,-1,Special:AbuseFilter/714,0,0,"{'0': '17085', '1': '714'}",abusefilter,modify,Zzuuzz,2017-04-02T07:44:15Z,
81950081,-1,Special:AbuseFilter/732,0,0,"{'0': '17086', '1': '732'}",abusefilter,modify,Zzuuzz,2017-04-02T07:45:26Z,
81950099,-1,Special:AbuseFilter/764,0,0,"{'0': '17087', '1': '764'}",abusefilter,modify,Zzuuzz,2017-04-02T07:47:00Z,
81950115,-1,Special:AbuseFilter/795,0,0,"{'0': '17088', '1': '795'}",abusefilter,modify,Zzuuzz,2017-04-02T07:48:26Z,
81953413,-1,Special:AbuseFilter/769,0,0,"{'0': '17089', '1': '769'}",abusefilter,modify,BethNaught,2017-04-02T12:26:50Z,
81956682,-1,Special:AbuseFilter/756,0,0,"{'0': '17090', '1': '756'}",abusefilter,modify,BethNaught,2017-04-02T16:15:21Z,
81956693,-1,Special:AbuseFilter/769,0,0,"{'0': '17091', '1': '769'}",abusefilter,modify,BethNaught,2017-04-02T16:15:41Z,
81964331,-1,Special:AbuseFilter/667,0,0,"{'0': '17092', '1': '667'}",abusefilter,modify,Kuru,2017-04-03T00:32:54Z,
81967241,-1,Special:AbuseFilter/845,0,0,"{'0': '17093', '1': '845'}",abusefilter,modify,Coffee,2017-04-03T04:14:58Z,
81967796,-1,Special:AbuseFilter/845,0,0,"{'0': '17094', '1': '845'}",abusefilter,modify,Coffee,2017-04-03T05:05:40Z,
81967841,-1,Special:AbuseFilter/846,0,0,"{'0': '17095', '1': '846'}",abusefilter,modify,Coffee,2017-04-03T05:10:26Z,
81969612,-1,Special:AbuseFilter/755,0,0,"{'0': '17096', '1': '755'}",abusefilter,modify,BethNaught,2017-04-03T08:00:22Z,
81992815,-1,Special:AbuseFilter/845,0,0,"{'0': '17097', '1': '845'}",abusefilter,modify,Coffee,2017-04-04T04:20:21Z,
81992842,-1,Special:AbuseFilter/846,0,0,"{'0': '17098', '1': '846'}",abusefilter,modify,Coffee,2017-04-04T04:22:10Z,
81996245,-1,Special:AbuseFilter/684,0,0,"{'0': '17099', '1': '684'}",abusefilter,modify,Zzuuzz,2017-04-04T09:43:10Z,
82000868,-1,Special:AbuseFilter/846,0,0,"{'0': '17100', '1': '846'}",abusefilter,modify,MusikAnimal,2017-04-04T14:44:10Z,
82007854,-1,Special:AbuseFilter/845,0,0,"{'0': '17101', '1': '845'}",abusefilter,modify,Coffee,2017-04-04T20:25:57Z,
82009419,-1,Special:AbuseFilter/847,0,0,"{'0': '17102', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-04T22:01:06Z,
82009426,-1,Special:AbuseFilter/847,0,0,"{'0': '17103', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-04T22:01:25Z,
82009466,-1,Special:AbuseFilter/847,0,0,"{'0': '17104', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-04T22:05:00Z,
82009623,-1,Special:AbuseFilter/847,0,0,"{'0': '17105', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-04T22:13:42Z,
82009729,-1,Special:AbuseFilter/847,0,0,"{'0': '17106', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-04T22:19:56Z,
82011005,-1,Special:AbuseFilter/847,0,0,"{'0': '17107', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-04T23:39:12Z,
82013020,-1,Special:AbuseFilter/845,0,0,"{'0': '17108', '1': '845'}",abusefilter,modify,Coffee,2017-04-05T02:02:59Z,
82018103,-1,Special:AbuseFilter/847,0,0,"{'0': '17109', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-05T09:01:24Z,
82018271,-1,Special:AbuseFilter/847,0,0,"{'0': '17110', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-05T09:15:03Z,
82018560,-1,Special:AbuseFilter/847,0,0,"{'0': '17111', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-05T09:30:03Z,
82034162,-1,Special:AbuseFilter/845,0,0,"{'0': '17112', '1': '845'}",abusefilter,modify,Coffee,2017-04-06T00:54:36Z,
82034960,-1,Special:AbuseFilter/846,0,0,"{'0': '17113', '1': '846'}",abusefilter,modify,Renamed user mou89p43twvqcvm8ut9w3,2017-04-06T02:02:29Z,
82035006,-1,Special:AbuseFilter/846,0,0,"{'0': '17114', '1': '846'}",abusefilter,modify,Renamed user mou89p43twvqcvm8ut9w3,2017-04-06T02:07:00Z,
82048822,-1,Special:AbuseFilter/848,0,0,"{'0': '17115', '1': '848'}",abusefilter,modify,Zzuuzz,2017-04-06T17:32:00Z,
82061539,-1,Special:AbuseFilter/848,0,0,"{'0': '17116', '1': '848'}",abusefilter,modify,Zzuuzz,2017-04-07T08:58:49Z,
82070538,-1,Special:AbuseFilter/848,0,0,"{'0': '17117', '1': '848'}",abusefilter,modify,Zzuuzz,2017-04-07T19:23:43Z,
82090378,-1,Special:AbuseFilter/835,0,0,"{'0': '17118', '1': '835'}",abusefilter,modify,MusikAnimal,2017-04-08T20:27:15Z,
82122067,-1,Special:AbuseFilter/847,0,0,"{'0': '17119', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-10T09:04:03Z,
82132933,-1,Special:AbuseFilter/579,0,0,"{'0': '17120', '1': '579'}",abusefilter,modify,Oshwah,2017-04-10T20:16:15Z,
82133004,-1,Special:AbuseFilter/579,0,0,"{'0': '17121', '1': '579'}",abusefilter,modify,Oshwah,2017-04-10T20:18:12Z,
82136369,-1,Special:AbuseFilter/579,0,0,"{'0': '17122', '1': '579'}",abusefilter,modify,Oshwah,2017-04-10T23:43:06Z,
82154987,-1,Special:AbuseFilter/579,0,0,"{'0': '17123', '1': '579'}",abusefilter,modify,Oshwah,2017-04-11T18:09:57Z,
82222962,-1,Special:AbuseFilter/590,0,0,"{'0': '17124', '1': '590'}",abusefilter,modify,Samwalton9,2017-04-14T18:56:10Z,
82224939,-1,Special:AbuseFilter/579,0,0,"{'0': '17125', '1': '579'}",abusefilter,modify,Oshwah,2017-04-14T21:06:00Z,
82243451,-1,Special:AbuseFilter/847,0,0,"{'0': '17126', '1': '847'}",abusefilter,modify,Zzuuzz,2017-04-15T20:49:59Z,
82254392,-1,Special:AbuseFilter/739,0,0,"{'0': '17127', '1': '739'}",abusefilter,modify,Samwalton9,2017-04-16T12:35:34Z,
82267108,-1,Special:AbuseFilter/547,0,0,"{'0': '17128', '1': '547'}",abusefilter,modify,MusikAnimal,2017-04-17T02:54:12Z,
82267252,-1,Special:AbuseFilter/849,0,0,"{'0': '17129', '1': '849'}",abusefilter,modify,MusikAnimal,2017-04-17T03:06:22Z,
82267263,-1,Special:AbuseFilter/547,0,0,"{'0': '17130', '1': '547'}",abusefilter,modify,MusikAnimal,2017-04-17T03:07:22Z,
82267356,-1,Special:AbuseFilter/547,0,0,"{'0': '17131', '1': '547'}",abusefilter,modify,MusikAnimal,2017-04-17T03:15:02Z,
82267465,-1,Special:AbuseFilter/547,0,0,"{'0': '17132', '1': '547'}",abusefilter,modify,MusikAnimal,2017-04-17T03:25:42Z,
82269610,-1,Special:AbuseFilter/639,0,0,"{'0': '17133', '1': '639'}",abusefilter,modify,Beetstra,2017-04-17T06:34:35Z,
82274295,-1,Special:AbuseFilter/547,0,0,"{'0': '17134', '1': '547'}",abusefilter,modify,MusikAnimal,2017-04-17T13:00:02Z,
82287493,-1,Special:AbuseFilter/803,0,0,"{'0': '17135', '1': '803'}",abusefilter,modify,MusikAnimal,2017-04-17T23:32:41Z,
82288593,-1,Special:AbuseFilter/803,0,0,"{'0': '17136', '1': '803'}",abusefilter,modify,MusikAnimal,2017-04-18T00:57:33Z,
82289383,-1,Special:AbuseFilter/579,0,0,"{'0': '17137', '1': '579'}",abusefilter,modify,Oshwah,2017-04-18T01:41:25Z,
82289406,-1,Special:AbuseFilter/579,0,0,"{'0': '17138', '1': '579'}",abusefilter,modify,Oshwah,2017-04-18T01:42:35Z,
82289915,-1,Special:AbuseFilter/579,0,0,"{'0': '17139', '1': '579'}",abusefilter,modify,Oshwah,2017-04-18T02:25:47Z,
82301981,-1,Special:AbuseFilter/831,0,0,"{'0': '17140', '1': '831'}",abusefilter,modify,MusikAnimal,2017-04-18T15:28:52Z,
82302023,-1,Special:AbuseFilter/828,0,0,"{'0': '17141', '1': '828'}",abusefilter,modify,MusikAnimal,2017-04-18T15:30:32Z,
82302041,-1,Special:AbuseFilter/825,0,0,"{'0': '17142', '1': '825'}",abusefilter,modify,MusikAnimal,2017-04-18T15:31:26Z,
82302064,-1,Special:AbuseFilter/824,0,0,"{'0': '17143', '1': '824'}",abusefilter,modify,MusikAnimal,2017-04-18T15:32:48Z,
82302066,-1,Special:AbuseFilter/824,0,0,"{'0': '17144', '1': '824'}",abusefilter,modify,MusikAnimal,2017-04-18T15:32:56Z,
