logid,ns,title,pageid,logpage,params,type,action,user,timestamp,comment
89398171,-1,Special:AbuseFilter/887,0,0,"{'historyId': 18486, 'newId': '887'}",abusefilter,modify,The Anome,2018-03-01T20:36:27Z,
89424849,-1,Special:AbuseFilter/904,0,0,"{'historyId': 18487, 'newId': 904}",abusefilter,create,MusikAnimal,2018-03-03T07:33:54Z,
89424903,-1,Special:AbuseFilter/904,0,0,"{'historyId': 18488, 'newId': '904'}",abusefilter,modify,MusikAnimal,2018-03-03T07:40:20Z,
89433070,-1,Special:AbuseFilter/871,0,0,"{'historyId': 18489, 'newId': '871'}",abusefilter,modify,Crow,2018-03-03T18:32:19Z,
89433110,-1,Special:AbuseFilter/874,0,0,"{'historyId': 18490, 'newId': '874'}",abusefilter,modify,Crow,2018-03-03T18:35:12Z,
89433188,-1,Special:AbuseFilter/58,0,0,"{'historyId': 18491, 'newId': '58'}",abusefilter,modify,Crow,2018-03-03T18:40:39Z,
89442300,-1,Special:AbuseFilter/885,0,0,"{'historyId': 18492, 'newId': '885'}",abusefilter,modify,Cyp,2018-03-04T06:49:17Z,
89452226,-1,Special:AbuseFilter/637,0,0,"{'historyId': 18493, 'newId': '637'}",abusefilter,modify,MusikAnimal,2018-03-04T18:43:04Z,
89459428,-1,Special:AbuseFilter/874,0,0,"{'historyId': 18494, 'newId': '874'}",abusefilter,modify,Callanecc,2018-03-05T03:06:39Z,
89462008,-1,Special:AbuseFilter/889,0,0,"{'historyId': 18495, 'newId': '889'}",abusefilter,modify,Cyp,2018-03-05T07:08:59Z,
89465557,-1,Special:AbuseFilter/889,0,0,"{'historyId': 18496, 'newId': '889'}",abusefilter,modify,Cyp,2018-03-05T12:17:13Z,
89479118,-1,Special:AbuseFilter/905,0,0,"{'historyId': 18497, 'newId': 905}",abusefilter,create,Xaosflux,2018-03-06T02:29:41Z,
89479202,-1,Special:AbuseFilter/905,0,0,"{'historyId': 18498, 'newId': '905'}",abusefilter,modify,Xaosflux,2018-03-06T02:36:21Z,
89480995,-1,Special:AbuseFilter/905,0,0,"{'historyId': 18499, 'newId': '905'}",abusefilter,modify,Xaosflux,2018-03-06T04:54:49Z,
89481536,-1,Special:AbuseFilter/906,0,0,"{'historyId': 18500, 'newId': 906}",abusefilter,create,Crow,2018-03-06T05:42:38Z,
89483062,-1,Special:AbuseFilter/260,0,0,"{'historyId': 18501, 'newId': '260'}",abusefilter,modify,Cyp,2018-03-06T07:49:53Z,
89486650,-1,Special:AbuseFilter/905,0,0,"{'historyId': 18502, 'newId': '905'}",abusefilter,modify,Xaosflux,2018-03-06T12:19:02Z,
89495729,-1,Special:AbuseFilter/904,0,0,"{'historyId': 18503, 'newId': '904'}",abusefilter,modify,MusikAnimal,2018-03-06T21:01:35Z,
89505201,-1,Special:AbuseFilter/889,0,0,"{'historyId': 18504, 'newId': '889'}",abusefilter,modify,Cyp,2018-03-07T07:09:21Z,
89505330,-1,Special:AbuseFilter/384,0,0,"{'historyId': 18505, 'newId': '384'}",abusefilter,modify,Cyp,2018-03-07T07:19:58Z,
89505404,-1,Special:AbuseFilter/384,0,0,"{'historyId': 18506, 'newId': '384'}",abusefilter,modify,Cyp,2018-03-07T07:27:49Z,
89509917,-1,Special:AbuseFilter/905,0,0,"{'historyId': 18507, 'newId': '905'}",abusefilter,modify,Xaosflux,2018-03-07T12:45:29Z,
89512152,-1,Special:AbuseFilter/861,0,0,"{'historyId': 18508, 'newId': '861'}",abusefilter,modify,Crow,2018-03-07T14:50:39Z,
89520961,-1,Special:AbuseFilter/861,0,0,"{'historyId': 18509, 'newId': '861'}",abusefilter,modify,Crow,2018-03-07T23:34:28Z,
89570547,-1,Special:AbuseFilter/51,0,0,"{'historyId': 18510, 'newId': '51'}",abusefilter,modify,Oshwah,2018-03-10T11:50:14Z,
89570782,-1,Special:AbuseFilter/51,0,0,"{'historyId': 18511, 'newId': '51'}",abusefilter,modify,Oshwah,2018-03-10T12:09:22Z,
89571164,-1,Special:AbuseFilter/51,0,0,"{'historyId': 18512, 'newId': '51'}",abusefilter,modify,Oshwah,2018-03-10T12:40:28Z,
89571318,-1,Special:AbuseFilter/51,0,0,"{'historyId': 18513, 'newId': '51'}",abusefilter,modify,Oshwah,2018-03-10T12:52:50Z,
89598182,-1,Special:AbuseFilter/904,0,0,"{'historyId': 18514, 'newId': '904'}",abusefilter,modify,MusikAnimal,2018-03-11T19:50:48Z,
89608328,-1,Special:AbuseFilter/738,0,0,"{'historyId': 18515, 'newId': '738'}",abusefilter,modify,The Anome,2018-03-12T10:01:21Z,
89618626,-1,Special:AbuseFilter/724,0,0,"{'historyId': 18516, 'newId': '724'}",abusefilter,modify,Xaosflux,2018-03-12T20:24:35Z,
89619172,-1,Special:AbuseFilter/260,0,0,"{'historyId': 18517, 'newId': '260'}",abusefilter,modify,Cyp,2018-03-12T20:54:51Z,
89619643,-1,Special:AbuseFilter/851,0,0,"{'historyId': 18518, 'newId': '851'}",abusefilter,modify,MusikAnimal,2018-03-12T21:22:11Z,
89632268,-1,Special:AbuseFilter/890,0,0,"{'historyId': 18519, 'newId': '890'}",abusefilter,modify,The Anome,2018-03-13T13:56:20Z,
89644659,-1,Special:AbuseFilter/874,0,0,"{'historyId': 18520, 'newId': '874'}",abusefilter,modify,Oshwah,2018-03-14T03:07:08Z,
89644673,-1,Special:AbuseFilter/874,0,0,"{'historyId': 18521, 'newId': '874'}",abusefilter,modify,Oshwah,2018-03-14T03:08:02Z,
89645329,-1,Special:AbuseFilter/737,0,0,"{'historyId': 18522, 'newId': '737'}",abusefilter,modify,MusikAnimal,2018-03-14T04:13:27Z,
89656187,-1,Special:AbuseFilter/858,0,0,"{'historyId': 18523, 'newId': '858'}",abusefilter,modify,MusikAnimal,2018-03-14T17:51:39Z,
89656320,-1,Special:AbuseFilter/858,0,0,"{'historyId': 18524, 'newId': '858'}",abusefilter,modify,MusikAnimal,2018-03-14T17:59:50Z,
89731318,-1,Special:AbuseFilter/902,0,0,"{'historyId': 18525, 'newId': '902'}",abusefilter,modify,MusikAnimal,2018-03-18T17:38:47Z,
89760051,-1,Special:AbuseFilter/858,0,0,"{'historyId': 18526, 'newId': '858'}",abusefilter,modify,MusikAnimal,2018-03-20T01:29:39Z,
